Transaction Date,Transaction Account,Transaction Description,Currency,Credit/Debit,Category,Subcategory,Note,Year,Month,Day,Transaction Date2
2025-09-01,1231,DIRECT DEBIT PAYMENT -,GBP,-69.98,,,,2025,9,1,2025-09-01
2025-08-17,1231,WWW.AMAZON.* RM8EC9934,GBP,-15.0,,,,2025,8,17,2025-08-17
2025-08-17,1231,WWW.AMAZON.* RM44U7994,GBP,-15.0,,,,2025,8,17,2025-08-17
2025-08-17,1231,WWW.AMAZON.* RM4KZ09B4,GBP,-15.0,,,,2025,8,17,2025-08-17
2025-08-15,1231,WWW.AMAZON.* RM6S41HZ4,GBP,-15.0,,,,2025,8,15,2025-08-15
2025-08-15,1231,WWW.AMAZON.* RM4AZ6BF4,GBP,-15.0,,,,2025,8,15,2025-08-15
2025-08-15,1231,WWW.AMAZON.* RM2FC1BN4,GBP,-15.0,,,,2025,8,15,2025-08-15
2025-08-14,1231,WWW.AMAZON.* RM8IF3PG4,GBP,-15.0,,,,2025,8,14,2025-08-14
2025-08-17,1231,WWW.AMAZON.* RM8EC9934,GBP,15.0,,,,2025,8,17,2025-08-17
2025-08-17,1231,WWW.AMAZON.* RM44U7994,GBP,15.0,,,,2025,8,17,2025-08-17
2025-08-17,1231,WWW.AMAZON.* RM4KZ09B4,GBP,15.0,,,,2025,8,17,2025-08-17
2025-08-15,1231,WWW.AMAZON.* RM6S41HZ4,GBP,15.0,,,,2025,8,15,2025-08-15
2025-08-15,1231,WWW.AMAZON.* RM4AZ6BF4,GBP,15.0,,,,2025,8,15,2025-08-15
2025-08-15,1231,WWW.AMAZON.* RM2FC1BN4,GBP,15.0,,,,2025,8,15,2025-08-15
2025-08-14,1231,WWW.AMAZON.* RM8IF3PG4,GBP,15.0,,,,2025,8,14,2025-08-14
2025-06-04,1231,SALARY CREDIT,GBP,2500.5,,,,2025,6,4,2025-06-04
2025-06-03,1231,GROCERY STORE,GBP,-75.2,,,,2025,6,3,2025-06-03
2025-06-02,1231,ONLINE SHOP,GBP,-150.0,,,,2025,6,2,2025-06-02
2025-03-28,1231,BOOTS 2265,GBP,28.15,,,,2025,3,28,2025-03-28
2025-03-28,1231,Aelia,GBP,19.99,,,,2025,3,28,2025-03-28
2025-03-26,1231,HOLLAND AND BARRETT,GBP,41.0,,,,2025,3,26,2025-03-26
2025-03-26,1231,SPORTSDIRECT.COM,GBP,162.97,,,,2025,3,26,2025-03-26
2025-03-26,1231,WAITROSE 768,GBP,56.3,,,,2025,3,26,2025-03-26
2025-03-26,1231,BOOTS 1132,GBP,36.45,,,,2025,3,26,2025-03-26
2025-03-26,1231,MUJI OXFORD STREET,GBP,38.25,,,,2025,3,26,2025-03-26
2025-03-25,1231,AMZNMktplace*RW3JA49R4,GBP,143.83,,,,2025,3,25,2025-03-25
2025-03-24,1231,WWW.JOHNLEWIS.COM,GBP,192.99,,,,2025,3,24,2025-03-24
2025-03-24,1231,CURRYS ONLINE,GBP,299.95,,,,2025,3,24,2025-03-24
2025-03-22,1231,SPORTSDIRECT.COM,GBP,318.96,,,,2025,3,22,2025-03-22
2025-07-16,1231,RING BASIC PLAN,GBP,49.99,,,,2025,7,16,2025-07-16
2025-07-05,1231,APPLE.COM/BILL,GBP,19.99,,,,2025,7,5,2025-07-05
2025-09-01,19988560,CLM LTD,GBP,3102.15,,,,2025,9,1,2025-09-01
2025-09-01,19988560,AJ BELL SECURITIES,GBP,-250.0,,,,2025,9,1,2025-09-01
2025-09-01,19988560,AJ BELL SECURITIES,GBP,-250.0,,,,2025,9,1,2025-09-01
2025-09-01,19988560,LLOYDS CASHBACK,GBP,-69.98,,,,2025,9,1,2025-09-01
2025-08-15,19988560,SANTANDER MORTGAGE,GBP,-2349.54,,,,2025,8,15,2025-08-15
